                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1382,                 1.4652,                 1.2265,                0.65793,                0.52586,                0.59564,                0.44313,                 1.0941,                  1.146,                 1.1351,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1761,                 1.3558,                 1.2541,                0.67634,                0.54439,                0.61978,                0.46001,                   1.08,                  1.106,                 1.1276,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2046,                 1.3605,                 1.2556,                0.63572,                0.59769,                0.63571,                0.46934,                 1.0742,                 1.0924,                 1.1232,             9.3058e-06,             9.3058e-06,             9.3058e-06
